Back	4.1	0.12864
Back	4.2	1.41504
Back	4.3	10.4198
Back	4.4	37.4342
Back	4.5	44.6874
Back	4.6	43.1718
Back	4.7	45.2198
Back	4.8	45.2198
Back	4.9	45.2198
Back	5	45.2608
Back	5.1	45.2198
Back	5.2	45.2198
Back	5.3	45.2198
Back	5.4	45.2608
Back	5.5	45.2198
Back	5.6	45.2198
Back	5.7	45.2198
Back	5.8	45.2608
Back	5.9	45.2198
Back	6	45.2198
Back	6.1	45.2198
Back	6.2	45.2608
Back	6.3	45.2198
Back	6.4	45.2198
Back	6.5	45.2198
Back	6.6	45.2608
Back	6.7	45.2198
Back	6.8	45.2198
Back	6.9	45.2198
Back	7	45.2198
Back	7.1	45.2608
Back	7.2	45.2198
Back	7.3	45.2198
Back	7.4	45.2198
Back	7.5	45.2608
Back	7.6	45.2198
Back	7.7	45.2198
Back	7.8	45.2198
Back	7.9	45.2608
Back	8	45.2198
Back	8.1	45.2198
Back	8.2	45.2198
Back	8.3	45.2608
Back	8.4	45.2198
Back	8.5	45.2198
Back	8.6	45.2198
Back	8.7	45.2608
Back	8.8	45.2198
Back	8.9	45.2198
Back	9	45.2198
Back	9.1	45.2608
Back	9.2	45.2198
Back	9.3	45.2198
Back	9.4	45.2198
Back	9.5	45.2198
Back	9.6	45.2608
Back	9.7	45.2198
Back	9.8	45.2198
Back	9.9	45.2198
Back	10	45.2608
1	10.1	0.25728
Back	10.1	44.9331
1	10.2	1.2864
Back	10.2	43.9501
1	10.3	6.432
Back	10.3	38.8301
1	10.4	15.2224
Back	10.4	30.0646
1	10.5	23.2915
Back	10.5	21.9955
1	10.6	22.4051
Back	10.6	22.8147
1	10.7	20.9715
Back	10.7	24.2483
1	10.8	20.9715
Back	10.8	24.2893
1	10.9	23.9206
Back	10.9	21.2992
1	11	23.6749
Back	11	21.545
1	11.1	23.4291
Back	11.1	21.7907
1	11.2	23.1424
Back	11.2	22.1184
1	11.3	21.1763
Back	11.3	24.0435
1	11.4	20.9715
Back	11.4	24.2483
1	11.5	22.8147
Back	11.5	22.4051
1	11.6	23.7568
Back	11.6	21.463
1	11.7	23.4701
Back	11.7	21.7907
1	11.8	23.4291
Back	11.8	21.7907
1	11.9	21.8726
Back	11.9	23.3472
1	12	20.9715
Back	12	24.2483
1	12.1	21.7498
2	12.1	0.04288
Back	12.1	23.511
1	12.2	23.8387
2	12.2	0.2144
Back	12.2	21.3811
1	12.3	23.552
2	12.3	0.60032
Back	12.3	21.6269
1	12.4	23.3472
2	12.4	1.45792
Back	12.4	21.8726
1	12.5	22.8557
2	12.5	2.95872
Back	12.5	22.2822
