Back	4.1	33.9558
Back	4.2	47.2269
Back	4.3	47.2678
Back	4.4	47.2269
Back	4.5	47.2269
Back	4.6	47.2269
Back	4.7	47.2269
Back	4.8	47.2269
Back	4.9	47.2269
Back	5	47.2678
Back	5.1	47.2269
Back	5.2	47.2269
Back	5.3	47.2269
Back	5.4	47.2269
Back	5.5	47.2269
Back	5.6	47.2269
Back	5.7	47.2678
Back	5.8	47.2269
Back	5.9	47.2269
Back	6	47.2269
Back	6.1	47.2269
Back	6.2	47.2269
Back	6.3	47.2678
Back	6.4	47.2269
Back	6.5	47.2269
Back	6.6	47.2269
Back	6.7	47.2269
Back	6.8	47.2269
Back	6.9	47.2269
Back	7	47.2678
Back	7.1	47.2269
Back	7.2	47.2269
Back	7.3	47.2269
Back	7.4	47.2269
Back	7.5	47.2269
Back	7.6	47.2269
Back	7.7	47.2678
Back	7.8	47.2269
Back	7.9	47.2269
Back	8	47.2269
Back	8.1	47.2269
Back	8.2	47.2269
Back	8.3	47.2678
Back	8.4	47.2269
Back	8.5	47.2269
Back	8.6	47.2269
Back	8.7	47.2269
Back	8.8	47.2269
Back	8.9	47.2269
Back	9	47.2678
Back	9.1	47.2269
Back	9.2	47.2269
Back	9.3	47.2269
Back	9.4	47.2269
Back	9.5	47.2269
Back	9.6	47.2269
Back	9.7	47.2678
Back	9.8	47.2269
Back	9.9	47.2269
Back	10	47.2269
Back	10.1	47.2269
1	10.2	23.4291
Back	10.2	23.7978
1	10.3	23.0195
Back	10.3	24.2483
1	10.4	25.7229
Back	10.4	21.504
1	10.5	24.2893
Back	10.5	22.9376
1	10.6	23.6339
Back	10.6	23.593
1	10.7	24.2074
Back	10.7	23.0195
1	10.8	25.0266
Back	10.8	22.2003
1	10.9	24.7398
Back	10.9	22.487
1	11	22.8147
Back	11	24.4531
1	11.1	24.0845
Back	11.1	23.1424
1	11.2	23.3472
Back	11.2	23.8797
1	11.3	24.4122
Back	11.3	22.8147
1	11.4	24.3712
Back	11.4	22.8557
1	11.5	23.4291
Back	11.5	23.7978
1	11.6	22.2413
Back	11.6	24.9856
1	11.7	24.2893
Back	11.7	22.9786
1	11.8	22.528
Back	11.8	24.6989
1	11.9	23.593
Back	11.9	23.6339
1	12	24.4941
Back	12	22.7328
1	12.1	24.535
Back	12.1	22.6918
1	12.2	23.8797
2	12.2	27.689
Back	12.2	23.3472
1	12.3	14.1312
2	12.3	24.6989
Back	12.3	33.1366
1	12.4	15.7696
2	12.4	28.1805
Back	12.4	31.4573
1	12.5	11.5098
2	12.5	28.4262
Back	12.5	35.7171
1	12.6	14.2131
2	12.6	43.5814
Back	12.6	33.0138
1	12.7	7.41376
2	12.7	33.4234
Back	12.7	39.8131
1	12.8	12.6566
2	12.8	23.3062
Back	12.8	34.5702
1	12.9	13.8445
2	12.9	37.3965
Back	12.9	33.3824
1	13	10.6906
2	13	35.9629
Back	13	36.5773
1	13.1	9.33888
2	13.1	43.2947
Back	13.1	37.888
1	13.2	8.47872
2	13.2	42.2298
Back	13.2	38.7482
1	13.3	6.9632
2	13.3	25.5181
Back	13.3	40.2637
1	13.4	14.295
2	13.4	38.2157
Back	13.4	32.9318
1	13.5	10.4448
2	13.5	44.6054
Back	13.5	36.7821
1	13.6	7.41376
2	13.6	36.823
Back	13.6	39.8131
1	13.7	9.95328
2	13.7	33.0138
Back	13.7	37.3146
1	13.8	12.6566
2	13.8	31.785
Back	13.8	34.5702
1	13.9	12.0422
2	13.9	23.593
Back	13.9	35.1846
1	14	14.377
2	14	32.6451
Back	14	32.8499
1	14.1	12.0013
2	14.1	25.1904
Back	14.1	35.2256
1	14.2	13.5987
2	14.2	30.4742
Back	14.2	33.6282
1	14.3	13.353
2	14.3	31.4982
Back	14.3	33.9149
1	14.4	11.8374
2	14.4	45.3018
Back	14.4	35.3894
1	14.5	6.9632
2	14.5	33.3005
Back	14.5	40.2637
1	14.6	12.6566
2	14.6	43.1309
