0	1.02846
2	1.04031
3	1.04031
4	1.04031
5	1.04031
6	1.04031
7	1.04031
9	1.0809
0	1.1085
2	1.1204
3	1.1205
4	1.1206
5	1.1207
6	1.1208
10	1.14946
11	1.14946
12	1.14946
14	1.15454
15	1.15454
9	1.161
11	1.2296
14	1.2346
15	1.2347
20	1.2563
21	1.25995
22	1.25995
25	1.26675
26	1.26675
28	1.3153
29	1.3154
20	1.3364
21	1.34
22	1.3401
25	1.3468
26	1.3469
30	1.37387
31	1.37387
32	1.37387
33	1.37387
34	1.37387
28	1.3954
29	1.3955
36	1.42247
37	1.42247
30	1.4539
34	1.4543
39	1.4758
42	1.48764
43	1.48764
36	1.5025
37	1.5026
39	1.5559
42	1.5677
47	1.58289
48	1.58299
49	1.58456
54	1.59974
56	1.64829
47	1.66299
49	1.66459
56	1.72839
57	1.74319
58	1.74329
59	1.74479
60	1.74489
61	1.74499
62	1.74509
63	1.74519
64	1.74529
65	1.74539
66	1.80859
57	1.82329
59	1.82489
60	1.82499
62	1.82519
63	1.82529
64	1.82539
68	1.85703
69	1.85703
70	1.85703
72	1.87706
73	1.87706
74	1.87706
75	1.87706
76	1.87706
68	1.93709
69	1.93719
70	1.93729
72	1.95709
73	1.95719
74	1.95729
78	1.98934
79	1.98934
80	1.98934
81	1.98934
82	1.98934
83	1.98934
84	1.98934
86	2.03789
87	2.03799
78	2.06939
79	2.06949
80	2.06959
81	2.06969
83	2.06989
88	2.09835
90	2.10174
86	2.11799
87	2.11809
93	2.15049
94	2.15059
95	2.15069
88	2.17839
96	2.19829
97	2.19839
93	2.23059
99	2.25869
100	2.25879
101	2.25889
102	2.25899
103	2.25925
105	2.31099
106	2.31109
107	2.31119
108	2.31129
109	2.31406
103	2.33929
111	2.36795
112	2.36795
113	2.36795
107	2.39129
108	2.39139
109	2.39409
115	2.41969
116	2.41979
117	2.42174
118	2.42174
112	2.44809
121	2.47479
115	2.49979
116	2.49989
117	2.50179
122	2.52686
123	2.52686
124	2.52686
121	2.55489
126	2.58018
127	2.58198
128	2.58208
129	2.58218
130	2.58228
122	2.60688
123	2.60698
131	2.63508
132	2.63565
127	2.66208
128	2.66218
129	2.66228
130	2.66238
136	2.68758
137	2.69105
132	2.71568
139	2.74278
140	2.74288
141	2.74298
142	2.74773
143	2.74773
144	2.74773
136	2.76768
137	2.77108
146	2.79805
140	2.82298
141	2.82308
150	2.85175
146	2.87808
152	2.90348
153	2.90358
154	2.90368
155	2.90378
156	2.90675
158	2.91013
150	2.93178
152	2.98358
153	2.98368
154	2.98378
158	2.99018
160	3.01198
161	3.01208
162	3.01414
163	3.01414
165	3.0226
166	3.0226
167	3.0226
168	3.0226
160	3.09208
161	3.09218
162	3.09418
163	3.09428
165	3.10268
166	3.10278
167	3.10288
170	3.12084
173	3.12592
176	3.13324
178	3.18338
179	3.18348
170	3.20088
173	3.20598
176	3.21328
178	3.26348
179	3.26358
180	3.28108
181	3.28118
182	3.28128
183	3.28618
184	3.28628
185	3.28638
186	3.29348
187	3.29358
188	3.34378
189	3.34388
180	3.36118
181	3.36128
182	3.36138
183	3.36628
184	3.36638
185	3.36648
187	3.37368
190	3.39004
192	3.39345
196	3.40065
198	3.40403
190	3.47008
196	3.48068
198	3.48408
200	3.49874
202	3.51105
203	3.51105
204	3.51105
205	3.51105
206	3.51105
207	3.51105
200	3.57878
202	3.59107
204	3.59127
206	3.59147
207	3.59157
210	3.61805
211	3.61805
213	3.62482
214	3.62482
215	3.62482
217	3.67207
218	3.67217
219	3.67227
211	3.69817
213	3.70487
214	3.70497
220	3.72487
222	3.73194
225	3.73872
226	3.73872
218	3.75227
219	3.75237
228	3.78104
220	3.80497
222	3.81197
225	3.81877
226	3.81887
230	3.83364
232	3.84064
228	3.86107
235	3.88804
236	3.88804
237	3.88804
232	3.92067
240	3.94147
241	3.94157
237	3.96827
242	4.00087
243	4.00097
244	4.00107
245	4.00117
246	4.00127
240	4.02157
247	4.04847
248	4.04857
249	4.04867
242	4.08097
243	4.08107
244	4.08117
245	4.08127
246	4.08137
250	4.0833
247	4.12857
248	4.12867
249	4.12877
252	4.16157
